"Protein","S0","S0.1","S0.2","S1","S1.1","S1.2","LogFoldChange","Zstatistic","fdr","FDRup","FDRdown","QM_fdr","QM_FDRup","QM_FDRdown"
"sp|P08294|SODE_HUMAN;sp|Q8IY17|PLPL6_HUMAN",25800000,4.3e+07,27800000,83900000,98300000,75800000,0.992,3.8247,0.001314,0.00019,0.539192,0.00141073771268581,0.00138198475229515,0.541306049484323
"sp|P14625|ENPL_HUMAN",1665859.581,1116245.255,721718.1264,3481741.26,6255659.612,7046993.215,1.564,3.7841,0.001475,0.000216,0.542095,0.00158042014770969,0.00154886046116415,0.544214372095493
"sp|Q13093|PAFA_HUMAN",2379751.562,2693234.077,2434156.483,6903236.323,14300000,6622300.597,1.237,3.7794,0.001495,0.000219,0.542437,0.00160116540710595,0.00156926773356131,0.544556894632289
"sp|P05546|HEP2_HUMAN",1.44e+09,1.76e+09,1.38e+09,7.97e+08,6.14e+08,6.69e+08,-0.794,-3.7668,0.071068,0.439025,0.022909,0.074289720115927,0.0670372422930273,0.0243530913372977
"sp|P13987|CD59_HUMAN",1449949.214,1015850.505,1554337.366,7059476.939,2601286.296,7763705.078,1.401,3.7256,0.001743,0.000257,0.546434,0.0018653217028879,0.00182899794861926,0.54856055048554
"sp|Q6UY14|ATL4_HUMAN",1591363.319,463417.9134,1341405.562,3614427.265,7110424.434,5622325.942,1.654,3.7149,0.001798,0.000265,0.547247,0.00192225551361783,0.00188499328470778,0.549374597203536
"sp|P0DJI9|SAA2_HUMAN",29600000,9467727.746,26700000,3432865.749,4218283.106,5241337.526,-1.518,-3.692,0.083211,0.439592,0.026635,0.0868813123946742,0.0787339010107741,0.0282423156487966
"sp|P08174|DAF_HUMAN",157297.9218,108031.6292,319499.7095,555953.0444,1124953.392,857463.9084,1.561,3.6857,0.001956,0.000289,0.549495,0.0020896531759767,0.00204957157517851,0.551625622915152
"sp|P00738|HPT_HUMAN",1.77e+10,3.02e+10,1.61e+10,2.56e+09,7.7e+09,2.85e+09,-1.662,-3.6843,0.084558,0.439651,0.027047,0.0882927875957921,0.0800454215759511,0.0286724160458042
"sp|P06310|KV206_HUMAN",396.957,1532.6724,2465.7807,111917.0255,132710.2547,7806.4094,3.767,3.6771,0.002005,0.000297,0.550165,0.00214098296594798,0.002100052229457,0.552296651846091
"sp|P24043|LAMA2_HUMAN",16900000,15900000,26100000,46900000,47900000,47300000,0.911,3.6569,0.002126,0.000315,0.551753,0.00226989170022503,0.00222676007525442,0.553886741633435
"sp|P01625|KV402_HUMAN;sp|P06312|KV401_HUMAN",35200000,54700000,34700000,1.05e+08,93700000,1.84e+08,1.099,3.6542,0.002143,0.000317,0.551966,0.00228737546509152,0.0022439519976527,0.554100688365956
"sp|Q16663|CCL15_HUMAN",11630.2794,204.1664,11524.261,686303.4129,1491642.425,1839275.241,5.664,3.6509,0.002164,0.00032,0.552228,0.0023089121078827,0.0022651295015847,0.554362671181634
"sp|P03973|SLPI_HUMAN",8793066.163,4626855.715,7296844.357,2.4e+07,13800000,19800000,1.039,3.6209,0.002361,0.00035,0.55463,0.00251787805074714,0.00247053746492138,0.556767784802732
"sp|Q9Y4L1|HYOU1_HUMAN;sp|Q9BXT5|TEX15_HUMAN",4003371.745,5390658.209,4875223.888,9322454.299,11300000,11500000,0.817,3.614,0.002409,0.000357,0.555188,0.00256795405653658,0.0025197726388667,0.557326646691069
"sp|P01616|KV203_HUMAN",654075.0881,62722.2815,606416.1913,7935603.642,2169760.668,5234187.937,2.675,3.5762,0.002692,0.000398,0.558284,0.00286530846122375,0.0028120362699203,0.560425255113006
"sp|Q15063|POSTN_HUMAN",5.96e+08,6.58e+08,6.23e+08,1.5e+08,3.41e+08,1.95e+08,-1.054,-3.5692,0.107496,0.440534,0.033937,0.112112407764092,0.102205934462084,0.0358496517708981
"sp|P35555|FBN1_HUMAN",2212626.416,2777999.275,3994744.051,7644800.253,6960943.605,6561707.182,0.893,3.555,0.002865,0.000423,0.560046,0.00304984352368872,0.00299334891348373,0.562189191846345
"sp|Q16853|AOC3_HUMAN",3681922.109,1765984.164,3740822.449,1.8e+07,18300000,6797209.121,1.518,3.5449,0.002952,0.000436,0.560892,0.00314008243913662,0.00308204392067373,0.563035662460663
"sp|Q7Z7M0|MEGF8_HUMAN",527167.2915,1456914.104,1479367.566,4409579.569,3917104.94,3313977.888,1.297,3.5448,0.002953,0.000436,0.5609,0.00314098791702024,0.00308293392399418,0.563044064998886
"sp|P12955|PEPD_HUMAN",7276917.4,7361005.642,7487007.652,21100000,13800000,20500000,0.894,3.5293,0.003091,0.000456,0.562206,0.00328941009757973,0.00322872338816035,0.564351412193429
"sp|Q07954|LRP1_HUMAN",5208047.92,4216209.099,6136569.999,10100000,13600000,11100000,0.833,3.5284,0.003099,0.000457,0.562282,0.00329805159846899,0.00323721495842125,0.564427523683855
"sp|Q9NQ79|CRAC1_HUMAN",1843866.983,2866809.711,2954549.961,17700000,6160176.344,8566025.414,1.401,3.521,0.003169,0.000467,0.562909,0.00336989093356769,0.00330780880437197,0.565054530569857
"sp|P19320|VCAM1_HUMAN;sp|P49454|CENPF_HUMAN",41400000,35400000,60200000,1.21e+08,3.48e+08,1.43e+08,1.421,3.505,0.003323,0.000488,0.564271,0.0035301081770039,0.00346525416473427,0.566417571277825
"sp|P02747|C1QC_HUMAN",1.05e+09,1.03e+09,1.57e+09,3.27e+09,2.74e+09,2.58e+09,0.865,3.5011,0.003362,0.000494,0.564605,0.00357019620106321,0.0035046498599791,0.566751342430311
"sp|P04083|ANXA1_HUMAN",226842.0121,486445.0517,611414.0351,83876.7781,66074.8003,168680.6046,-1.41,-3.4959,0.125625,0.44109,0.039111,0.1308336645906,0.119596472780206,0.041229589634586
"sp|Q9H4A9|DPEP2_HUMAN",64271.9555,0,15097.141,556225.4149,97330.6855,573756.1077,2.705,3.4783,0.0036,0.000527,0.566564,0.00382216159483659,0.00375209862302799,0.568711453235463
"sp|O00391|QSOX1_HUMAN",1.72e+08,1.49e+08,1.75e+08,3.69e+08,3.18e+08,3.13e+08,0.697,3.4613,0.003788,0.000553,0.568036,0.00402314543228648,0.00394943548823967,0.570184459165213
"sp|P11142|HSP7C_HUMAN;sp|P34931|HS71L_HUMAN",3437622.879,2294081.803,4237501.455,854540.5335,1417040.467,927886.2455,-1.112,-3.4479,0.139377,0.441446,0.04288,0.14486571883235,0.132618535578783,0.0451417851340274
"sp|Q9UJJ9|GNPTG_HUMAN",5568549.352,7422085.103,5858408.051,11500000,13400000,1.3e+07,0.707,3.4218,0.004269,0.000617,0.571489,0.00452761404219446,0.00444476329178051,0.573637632294532
"sp|Q92954|PRG4_HUMAN",1.4e+08,1.13e+08,1.53e+08,3.77e+08,2.42e+08,2.97e+08,0.812,3.4167,0.004336,0.000626,0.571937,0.0045967467291129,0.0045126449234687,0.574086341506207
"sp|P04211|LV001_HUMAN",33500000,29200000,34400000,72500000,3.04e+08,1.3e+08,1.464,3.4121,0.004397,0.000634,0.572343,0.00465992401715384,0.0045746791231999,0.574491686798783
"sp|Q6EMK4|VASN_HUMAN",58400000,81100000,58700000,1.24e+08,1.45e+08,1.4e+08,0.729,3.4014,0.004543,0.000653,0.573287,0.00480994616064469,0.00472198759869326,0.575436859481818
"sp|P98088|MUC5A_HUMAN;sp|Q9HC84|MUC5B_HUMAN",11400000,1.2e+07,28500000,1351618.927,5659513.914,1624090.048,-1.904,-3.3828,0.160649,0.44191,0.048526,0.166606302238593,0.152762456511692,0.0509930565137999
"sp|P04216|THY1_HUMAN",1850811.061,2732930.084,2488514.897,4098248.012,4522962.799,4978845.566,0.661,3.3777,0.004885,0.000698,0.575389,0.00517062251540908,0.00507591418046198,0.577538824332683
"sp|Q9Y6R7|FCGBP_HUMAN",3.95e+08,4.19e+08,3.98e+08,1.01e+09,1.03e+09,6.66e+08,0.793,3.3761,0.004909,0.000701,0.575531,0.00519538271050056,0.00510021862504848,0.577681152547448
"sp|P09871|C1S_HUMAN",5.47e+08,6.37e+08,8.12e+08,1.4e+09,1.32e+09,1.32e+09,0.73,3.3412,0.005466,0.000772,0.578646,0.0057773718304808,0.00567123498538427,0.580797494937301
"sp|P18669|PGAM1_HUMAN;sp|Q8N0Y7|PGAM4_HUMAN",8072771.86,4915729.069,3940131.446,1343850.043,873706.7778,2561574.185,-1.325,-3.3389,0.176704,0.442208,0.052711,0.182857110509806,0.167829758477838,0.0553221380439203
"sp|P08254|MMP3_HUMAN",22172.0442,1988.3178,0,29627.5542,289844.4548,208720.9759,3.528,3.3317,0.005628,0.000792,0.579497,0.00594441175790138,0.00583514340440947,0.581649491496107
"sp|P05451|REG1A_HUMAN",10400000,4029014.031,7874129.023,17200000,36300000,41600000,1.458,3.3185,0.005863,0.000822,0.580682,0.00619511761143688,0.00608094546790977,0.582835139377255
"sp|P01617|KV204_HUMAN",1.2e+07,22600000,20800000,55600000,36100000,51500000,0.97,3.3051,0.006113,0.000852,0.581887,0.00645135482367269,0.00633229526858773,0.584040898509275
"sp|P01709|LV206_HUMAN",0,0,12291.1626,146653.9959,3034755.103,445273.5124,4.969,3.3038,0.006137,0.000855,0.582004,0.00647672215337176,0.00635717833840134,0.58415802446204
"sp|P40189|IL6RB_HUMAN",130829.4287,0,183.0535,1440431.852,849691.5518,743265.3692,6.383,3.2946,0.006314,0.000877,0.582832,0.00665886584855521,0.00653584280593439,0.584987667300491
"sp|P01859|IGHG2_HUMAN",25400000,1.2e+07,1.3e+07,48400000,1.13e+08,3.2e+08,2.009,3.2874,0.006458,0.000895,0.583481,0.0068149776825315,0.00668878888551315,0.585637280318353
"sp|Q99969|RARR2_HUMAN",7518188.224,4988426.516,9781402.159,20300000,22400000,14300000,0.981,3.287,0.006466,0.000896,0.583517,0.00682328157817334,0.00669693183476373,0.585673373677058
"Int_P06396ups|GELS_HUMAN_UPS",1.44e+09,1.54e+09,1.63e+09,3.01e+09,3.12e+09,2.83e+09,0.661,3.2867,0.006472,0.000896,0.583544,0.0068295155832951,0.00670304500541935,0.585700444948409
"sp|P07900|HS90A_HUMAN;sp|Q92538|GBF1_HUMAN;sp|Q14568|HS902_HUMAN;sp|Q58FF8|H90B2_HUMAN;sp|Q58FG1|HS904_HUMAN",11700000,19900000,23400000,5318225.939,5358407.359,8695922.302,-1.044,-3.2763,0.201665,0.442608,0.059251,0.208120640524736,0.191294632488797,0.0620729643212139
"sp|O15204|ADEC1_HUMAN",202466.9838,497799.5437,399285.3983,1571175.195,1540491.933,780983.8942,1.269,3.268,0.00686,0.000943,0.585232,0.00722856176444518,0.00709434454635736,0.587389991818652
"sp|Q13508|NAR3_HUMAN",436326.5126,181765.2673,749629.7109,1451523.29,5270205.729,2715174.674,1.985,3.2641,0.006943,0.000953,0.585584,0.00731442970700867,0.00717854254135673,0.58774287487952
"sp|P36222|CH3L1_HUMAN",39200000,46700000,35700000,82100000,1.38e+08,76600000,0.885,3.2632,0.006963,0.000956,0.585665,0.00733437752268845,0.00719810226537678,0.587824334581284
"sp|P22105|TENX_HUMAN",38200000,30100000,4.7e+07,1.11e+08,71900000,8.4e+07,0.84,3.226,0.007817,0.001057,0.58903,0.00822163729298277,0.00806773283104491,0.591194960446878
"sp|P13647|K2C5_HUMAN",2614914.825,15900000,7658809.211,28800000,1.15e+08,4.6e+07,2.063,3.1983,0.00852,0.001139,0.591539,0.00895232875393157,0.00878367628291023,0.59370935257287
"sp|K22E_HUMAN|;sp|Q7Z794|K2C1B_HUMAN",91100000,1.02e+08,1.03e+08,1.5e+08,2.83e+08,2.62e+08,0.816,3.1659,0.009417,0.001242,0.594475,0.00988256892958936,0.00969499299904826,0.596654090613847
"sp|P01624|KV306_HUMAN",792658.2062,1250930.975,1949407.513,5591444.58,3442023.549,5784542.345,1.383,3.1546,0.00975,0.00128,0.5955,0.0102281871133723,0.010033526050616,0.597681858732421
"sp|Q06141|REG3A_HUMAN",9506073.775,11400000,6471707.19,3e+07,2.4e+08,44300000,2.019,3.1501,0.009886,0.001295,0.595908,0.0103682596818831,0.0101707318274389,0.598091219730714
"sp|O43707|ACTN4_HUMAN;sp|Q9H254|SPTN4_HUMAN",790469.0911,4152067.659,2586534.474,192918.8489,159415.4809,559346.8883,-2.084,-3.1437,0.258102,0.443345,0.075505,0.264825321126543,0.244577450974368,0.0787771925599302
"sp|P31949|S10AB_HUMAN",1389778.862,1342579.206,2205214.837,379455.1953,459944.1092,954067.973,-1.062,-3.119,0.268244,0.443467,0.078905,0.273934276800811,0.253388872874832,0.0822606575009857
"sp|P07585|PGS2_HUMAN",3096269.702,6471343.677,4563198.695,11700000,16200000,9328760.881,0.981,3.1073,0.011262,0.001451,0.599789,0.0117891886273689,0.0115624343391197,0.601987290133509
"sp|O00533|NCHL1_HUMAN",12200000,9707439.99,14100000,24400000,20400000,28700000,0.703,3.0997,0.011523,0.00148,0.600479,0.0120594698862355,0.0118271200402686,0.602679625421224
"sp|Q9UNN8|EPCR_HUMAN",10900000,10200000,19700000,32500000,4e+07,31200000,0.976,3.0918,0.0118,0.001512,0.601196,0.0123464282890892,0.0121081257062713,0.603399395277584
"sp|P09619|PGFRB_HUMAN",139791.8756,386279.5657,183164.9574,859169.2451,1343635.999,543876.381,1.377,3.0882,0.011928,0.001526,0.601522,0.012479257197029,0.0122381950799934,0.603727423687535
"sp|P49788|TIG1_HUMAN",692885.2763,512180.6406,1831101.642,3070262.115,3375970.95,2166856.336,1.197,3.0652,0.012771,0.001621,0.60361,0.0133488297328148,0.0130898222047785,0.605825142269282
"sp|P34096|RNAS4_HUMAN",9700931.448,4330878.95,8569411.667,25500000,14900000,21300000,1.041,3.0533,0.013228,0.001672,0.604691,0.0138125042754666,0.0135440259754627,0.606911025923938
"sp|P02538|K2C6A_HUMAN",2615475.632,16100000,9764882.514,29900000,1.19e+08,46800000,1.957,3.0334,0.014017,0.001761,0.6065,0.0146332560393014,0.0143477381266751,0.608729572636881
"sp|Q14118|DAG1_HUMAN",10500000,10900000,2e+07,30100000,32500000,28100000,0.831,3.0271,0.014275,0.00179,0.607073,0.014902189297809,0.0146110720581181,0.609305620743041
"sp|O94985|CSTN1_HUMAN",2964041.034,1900197.429,1085160.472,4649223.785,7063681.998,5214117.685,1.105,2.9717,0.016697,0.002066,0.612127,0.0173924302359315,0.0170504617888054,0.614387353084955
"sp|P02790|HEMO_HUMAN",5.6e+10,5.36e+10,5.29e+10,3.16e+10,3.05e+10,2.32e+10,-0.645,-2.9658,0.320222,0.444134,0.102529,0.326668720109254,0.305395862456445,0.10637991832735
"sp|P01857|IGHG1_HUMAN",62400000,59200000,32500000,1.04e+08,2.18e+08,4.44e+08,1.489,2.9553,0.01747,0.002154,0.613629,0.0182010840100294,0.0178424704164854,0.615898021780999
