"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"341","QM","Quantile",1e-04,0,0,0,0,118
"342","QM","Quantile",2e-04,0,0,0,0,124
"343","QM","Quantile",3e-04,0,0,0,0,131
"344","QM","Quantile",4e-04,0,0,0,0,137
"345","QM","Quantile",5e-04,0,0,0,0,141
"346","QM","Quantile",6e-04,0,0,0,0,142
"347","QM","Quantile",7e-04,0,0,0,0,143
"348","QM","Quantile",8e-04,0,0,0,0,146
"349","QM","Quantile",9e-04,0,0,0,0,147
"350","QM","Quantile",0.001,0,0,0,0,150
"353","QM","Quantile",0.004,0,0,0,0,178
"354","QM","Quantile",0.005,0,0,0,0,180
"355","QM","Quantile",0.006,0,0,0,0,183
"356","QM","Quantile",0.007,0,0,0,0,188
"357","QM","Quantile",0.008,0,0,0,0,194
"358","QM","Quantile",0.009,0,0,0,0,197
"359","QM","Quantile",0.01,0,0,0,0,197
"363","QM","Quantile",0.05,0,0,0,0,252
"366","QM","Quantile",0.08,0,0,0,0,278
"367","QM","Quantile",0.09,0,0,0,0,282
"368","QM","Quantile",0.1,0,0,0,0,289
"1100","BT","None",1e-06,0,0,0,0,101
"1310","BT","None",4e-05,0,0,0,0,137
"1410","BT","None",5e-05,0,0,0,0,139
"1510","BT","None",6e-05,0,0,0,0,139
"1610","BT","None",7e-05,0,0,0,0,141
"1710","BT","None",8e-05,0,0,0,0,141
"1810","BT","None",9e-05,0,0,0,0,142
"1910","BT","None",1e-04,0,0,0,0,143
"2310","BT","None",5e-04,0,0,0,0,166
"2410","BT","None",6e-04,0,0,0,0,169
"2510","BT","None",7e-04,0,0,0,0,170
"2610","BT","None",8e-04,0,0,0,0,173
"2710","BT","None",9e-04,0,0,0,0,173
"2810","BT","None",0.001,0,0,0,0,176
"2910","BT","None",0.002,0,0,0,0,181
"1101","BT","AI-G",1e-06,0,0,0,0,0
"2101","BT","AI-G",2e-06,0,0,0,0,0
"370","BT","AI-G",3e-06,0,0,0,0,0
"412","BT","AI-G",4e-06,0,0,0,0,0
"511","BT","AI-G",5e-06,0,0,0,0,0
"611","BT","AI-G",6e-06,0,0,0,0,0
"711","BT","AI-G",7e-06,0,0,0,0,0
