"","0","1.000000e+00","1.000000e+00","1.000000e+00","1.000000e+00","2.000000e+00","2.000000e+00","2.000000e+00","pVal","BHpVal"
"115","1::Q9JKR6","2.560050e+05","2.988006e+05","3.156954e+05","2.499447e+05","1.425527e+05","2.515435e+05","2.825755e+05","0.32816122047739","0.830566604895137"
"116","1::Q9CVB6","2.899754e+05","2.649747e+05","1.982278e+05","2.771052e+05","1.851243e+05","2.832570e+05","1.464689e+05","0.331488151780601","0.830566604895137"
"117","1::Q9Z126","3.430369e+07","3.938712e+07","2.888518e+07","3.204201e+07","2.092106e+07","1.244012e+08","6.929280e+07","0.332469952594169","0.830566604895137"
"118","1::P12399","2.107436e+04","4.621381e+04","4.995019e+04","3.080032e+04","1.912617e+04","8.485833e+04","1.018972e+05","0.336243519967145","0.830566604895137"
"119","1::P06728","7.126646e+04","2.423339e+05","5.741839e+04","1.788897e+05","2.733719e+04","9.769885e+04","1.197584e+05","0.336743225685773","0.830566604895137"
"120","1::P29351","1.916849e+04","2.256457e+04","9.243714e+03","2.383302e+04","2.905292e+04","1.511103e+04","3.374212e+04","0.336849667614262","0.830566604895137"
"121","1::O55226","2.563448e+03","5.160114e+03","6.473661e+03","6.189355e+03","3.812026e+03","1.183591e+04","8.326582e+03","0.340280666120258","0.830566604895137"
"122","1::P26041","4.385047e+05","5.993343e+05","3.218997e+05","3.811539e+05","5.535359e+05","4.184610e+05","1.071126e+06","0.341847034982747","0.830566604895137"
"123","1::O35451","1.209934e+05","2.331040e+05","1.710256e+05","1.770811e+05","1.946026e+05","2.264258e+05","1.880889e+05","0.342412014857773","0.830566604895137"
"124","1::Q9JM76","1.111451e+05","1.107267e+05","8.806374e+04","1.319238e+05","8.307484e+04","1.195771e+05","7.666610e+04","0.345823152839827","0.830566604895137"
"125","1::Q9Z0N1","6.798924e+03","1.772958e+03","6.570931e+02","4.020896e+03","2.579516e+03","5.556769e+03","9.939868e+03","0.351265302925431","0.830566604895137"
"126","1::Q60817","1.071396e+05","2.272083e+05","1.918604e+05","1.128752e+05","1.629762e+05","5.810846e+05","2.094454e+05","0.354405495475685","0.830566604895137"
"127","1::Q8R429","2.572695e+04","8.354104e+04","7.885197e+04","6.956168e+04","1.139945e+03","3.253711e+04","7.734120e+04","0.356995053032874","0.830566604895137"
"128","1::P01942","8.668337e+01","1.143205e+05","8.450109e+04","5.973873e+01","7.478212e-06","1.798334e+05","1.977589e+05","0.357489851425791","0.830566604895137"
"129","1::P55065","1.042213e+05","1.075083e+05","8.495142e+04","1.551980e+05","3.121131e+05","7.976463e+04","1.851828e+05","0.358570233988879","0.830566604895137"
"130","1::Q9ESB3","3.161454e+08","5.669009e+08","6.053841e+08","3.946995e+08","6.985276e+08","4.536127e+08","5.599524e+08","0.361115915171799","0.830566604895137"
"131","1::Q99MQ4","6.948329e+04","7.397381e+04","1.101477e+05","1.923139e+04","5.079144e+03","6.617951e+04","5.504981e+04","0.371707578968309","0.844676527785713"
"132","1::P41317","6.502775e+05","3.065829e+05","3.251187e+05","1.407035e+06","5.441500e+05","1.221722e+06","1.265911e+06","0.37545100843185","0.844676527785713"
"133","1::Q9DCD0","8.028398e+04","6.132526e+04","5.349895e+04","7.016706e+04","2.709624e+05","5.477227e+04","9.695165e+04","0.376678978728913","0.844676527785713"
"134","1::Q8R0Z6;1::Q9R045","2.259374e+05","3.813309e+05","4.067914e+05","1.984914e+05","9.059639e+04","7.780927e+05","8.665434e+05","0.378550684693262","0.844676527785713"
"135","1::P97298","2.722235e+04","6.200705e+04","8.182349e+04","3.782321e+04","1.762077e+06","9.537369e+04","1.048545e+05","0.390786956888597","0.860830236971021"
"136","1::P35441;1::Q03350;1::Q05895","3.889428e+07","4.819101e+07","5.517669e+07","3.800106e+07","2.815987e+07","1.300472e+08","7.172399e+07","0.396790273266843","0.860830236971021"
"137","1::B5X0G2","8.100953e+04","1.781697e+05","1.884190e+05","1.053027e+05","9.729665e+04","6.785812e+04","1.501272e+05","0.398245426752091","0.860830236971021"
"138","1::Q3THE2","1.566826e+05","2.554591e+05","2.228524e+05","1.168338e+05","3.773825e+04","2.103221e+05","1.462117e+05","0.40175495845193","0.860830236971021"
"139","1::P22599","1.385738e+06","1.227444e+06","1.111388e+06","1.194447e+06","7.098508e+05","3.244550e+06","2.048805e+06","0.402607918024247","0.860830236971021"
"140","1::Q61147","1.478549e+05","1.758642e+05","2.358604e+05","1.866770e+05","1.693354e+05","1.734876e+05","1.631032e+05","0.40309423695272","0.860830236971021"
"141","1::P11152","3.984598e+04","6.949597e+04","5.047174e+04","4.091371e+04","2.487616e+04","9.057151e+04","1.368818e+05","0.406775471504497","0.860830236971021"
"142","1::Q62446","4.626351e+04","1.037062e+05","6.725382e+04","4.480906e+04","3.751034e+04","4.528901e+04","6.896130e+04","0.412712212619604","0.860830236971021"
"143","1::P62751","1.369249e+05","2.062782e+05","2.161215e+05","1.164882e+05","1.098917e+05","3.393975e+05","2.667362e+05","0.416426925908881","0.860830236971021"
"144","1::Q3SXB8","9.897093e+05","1.565648e+06","1.504396e+06","1.231542e+06","7.588873e+05","2.540981e+06","2.429303e+06","0.416829961182527","0.860830236971021"
"145","1::P61161","3.870467e+05","4.684645e+05","3.890835e+05","4.061203e+05","3.285304e+05","4.561144e+05","3.140516e+05","0.419573963968114","0.860830236971021"
"146","1::P97333","7.111778e+05","9.762609e+05","1.070367e+06","8.095934e+05","8.516233e+05","9.368928e+05","2.059156e+06","0.421998339123629","0.860830236971021"
"147","1::P04186","1.937554e+06","9.994979e+05","1.033698e+06","2.351235e+06","4.352092e+07","1.389680e+06","1.672378e+06","0.424026567628679","0.860830236971021"
"148","1::E9Q414;1::Q9EST8","4.455741e+06","6.285658e+06","3.660510e+06","3.282953e+06","1.708744e+06","9.990377e+05","5.945954e+06","0.433854781584948","0.860830236971021"
"149","1::Q8VDD5;1::Q61879","8.002603e+05","1.087911e+06","8.299060e+05","6.467428e+05","1.919490e+05","7.555617e+05","9.288068e+05","0.442808893238933","0.860830236971021"
"150","1::Q8BGZ7","2.716893e+04","1.254817e+03","1.805331e+04","2.723822e+03","2.027781e+03","1.974768e+04","1.095563e+05","0.445148920935042","0.860830236971021"
"151","1::Q9WVE8","2.121407e+04","5.978868e+04","4.119882e+04","2.467664e+04","5.938329e+03","1.526727e+05","7.094694e+04","0.448820520427774","0.860830236971021"
"152","1::P52480","4.193021e+04","3.999887e+04","5.199872e+04","7.340195e+04","4.843491e+04","6.159252e+04","6.918069e+04","0.455070702412218","0.860830236971021"
"153","1::Q61035","4.496523e+04","5.426769e+04","5.012628e+04","3.410423e+04","3.137609e+04","9.779672e+04","6.149433e+04","0.456005862156351","0.860830236971021"
"154","1::Q91WP0","7.171852e+04","2.906555e+04","1.522815e+04","1.913483e+05","1.125144e+05","1.035809e+05","1.167182e+05","0.457641997965198","0.860830236971021"
"155","1::Q99PP7","1.219304e+06","1.089842e+06","1.042336e+06","1.255485e+06","1.359041e+06","5.268154e+05","9.094700e+05","0.458524778586498","0.860830236971021"
"156","1::P97855","3.770113e+04","6.625802e+04","6.937328e+04","3.856200e+04","2.087823e+04","1.208259e+05","1.014970e+05","0.458840194173601","0.860830236971021"
"157","1::B0V2N1","9.957255e+04","6.316402e+04","7.246995e+04","7.144061e+04","8.288974e+04","6.335978e+04","2.019263e+05","0.460083735312411","0.860830236971021"
"158","1::P01837","1.115826e+05","1.595383e+05","1.901030e+05","2.216283e+05","9.408446e+04","2.502641e+05","4.268907e+05","0.466171340832821","0.860830236971021"
"159","1::P19253","2.124881e+04","1.410649e+03","1.232619e-05","3.293644e+04","1.754988e+04","9.788705e+02","1.743028e-05","0.467328853959246","0.860830236971021"
"160","1::P26040","7.037035e+04","1.447052e+05","8.685265e+04","7.482537e+04","8.449543e+04","1.070372e+05","1.552974e+05","0.469737600324212","0.860830236971021"
"161","1::P39061","9.457828e+03","4.346310e+03","8.452995e+02","9.906759e+03","3.423241e+04","3.901686e+03","6.205524e+03","0.4709208650569","0.860830236971021"
