"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"2131","sp|P23083|HV103_HUMAN",46734.867453045,72493.7327251903,1091832.769,1001816.97102409,93163.0547743653,120039.541790855,172841.399955806,105980.439730374,152127.601427263,656838.031886076,820451.041497514,266561.699856477,263907.21396995,"0.997381770293526"
"2132","sp|P40429|RL13A_HUMAN",8388.81072756692,10040.3046553527,31122.52962,23516.833250571,59826.1886792668,38844.3993763004,984.15964816943,15962.2827863993,23720.5332125589,166085.322207406,180812.547612694,167281.161801117,167678.47033784,"0.685474896497476"
"2133","sp|Q9BZH6|WDR11_HUMAN",13953.0246540322,16798.1260550587,30351.38913,32336.9880456467,52382.9025374932,65246.6950195019,7061.96609650793,117853.468804343,148643.157432491,132606.043554585,140190.695432304,170745.099173546,157933.707293091,"0.452558151586516"
"2134","sp|O00442|RTCA_HUMAN",40948.1619459921,41815.4418017422,123930.4379,83046.856358475,159707.56789582,160280.419542827,35082.7374179013,182692.906965574,156115.36974138,498864.380873741,463388.603657959,456221.107677746,463599.289664642,"0.593435903126659"
"2135","sp|Q9H4A3|WNK1_HUMAN",38735.2908249801,37332.1138472531,44879.68826,44500.6006313097,65760.6227836874,70839.4018913956,19721.328788716,123728.910644873,134614.665858866,190576.862883502,183368.755368019,100249.505543503,114949.162091148,"0.722740288965611"
"2136","sp|Q96EM0|T3HPD_HUMAN",32590.4916138651,26895.6530840103,65477.58247,75365.2408291559,147204.519785104,156725.029215588,13283.1356948017,48316.295966135,48996.2953136102,310326.963652429,309734.961477464,101414.039385474,99894.9968997454,"0.986950259740347"
"2137","sp|Q13185|CBX3_HUMAN",97779.7531263357,117523.584429194,310624.0194,282858.935096437,342661.40241485,403748.015672408,81741.2384618057,1631087.4732769,1448299.48149436,731130.334908816,1051995.41764677,1157158.75360676,1028901.01951838,"0.473674235410145"
"2138","sp|P30047|GFRP_HUMAN",318797.768749928,327372.272275631,333809.4381,277174.061374876,332065.845553196,387424.475625538,61131.4005759783,781632.165572828,771800.469035411,586525.419662205,567881.466730738,386058.797223961,357725.234355465,"0.602830432929707"
"2139","sp|Q6NVY1|HIBCH_HUMAN",15414.5227258715,12346.3170378559,13969.2841,11835.8612700923,21986.9780218342,21566.6271971034,7091.31328857682,39239.4720909769,49072.6379930298,60934.5200765328,59816.7775958074,86953.0661247667,85795.2771324114,"0.379865291316002"
"2140","sp|Q6BCY4|NB5R2_HUMAN",21726.5200647084,26388.7144590504,30240.17465,19679.5099409767,40503.2503442458,55484.584054594,4289.09339123208,242908.57431346,173534.965121094,102765.611213068,178505.162471144,317089.264333111,316732.333017074,"0.341489454791411"
"2141","sp|Q92783|STAM1_HUMAN",75136.8041957724,93551.5277083944,103542.4088,80683.8307220207,212647.166088218,129735.11319185,22278.05557646,148270.804108144,143831.275419062,353022.260815402,379973.331550414,95779.1263336461,114305.008548284,"0.958560264599866"
"2142","sp|Q9H5N1|RABE2_HUMAN",11814.1230023903,10533.7158725773,33178.26642,32431.2771891438,45971.3730565828,72739.0311515141,6517.02658303602,108637.489327397,94762.913377892,206857.767086927,144903.367167008,86040.052246855,54685.8599398659,"0.662414769096947"
"2143","sp|Q9Y3Q3|TMED3_HUMAN",6091.05553353993,6787.12644001648,6048.360922,4615.32079169272,6536.254366859,6486.04541674352,4972.52218449147,75757.6724704746,126545.694497109,65548.0981986804,41127.4348085657,40888.8516961635,48296.3549374923,"0.187968907959751"
"2144","sp|Q9NWV4|CA123_HUMAN",409759.872289589,472700.729553883,621084.873,533206.974350175,480183.617791067,487779.341342148,129127.03156997,795099.234353013,767904.835442844,697230.531515263,787114.425882487,693910.083977545,826512.368859547,"0.55880590033977"
"2145","sp|O75844|FACE1_HUMAN",108606.1903411,135107.856889998,315421.347,317744.135170855,118923.571277056,80373.4496819943,104236.474647287,287730.600498986,327843.776084737,458827.267252656,391913.297063361,357465.630188903,258693.127557469,"0.581045740617445"
"2146","sp|O43674|NDUB5_HUMAN",6888.62990390049,19121.2124467571,8322.583103,21816.7096731962,48009.8475230299,39109.1786412143,11000.0231245496,121957.747545422,159785.061624243,116775.964107302,131448.005978341,151984.585871923,121215.102683991,"0.474269864225043"
"2147","sp|Q13485|SMAD4_HUMAN",5496.56721865133,12650.0183132222,52403.67673,26893.0833676219,31633.7798424832,35496.9132240563,14219.8705980159,16277.4622974043,21474.8126273573,25747.9079880022,24873.3629134386,243206.344038417,203334.120244913,"0.147412642010562"
"2148","sp|Q14699|RFTN1_HUMAN",88954.7855285857,93711.8162857959,262413.4999,234110.708034631,315960.441666368,297733.191864555,66123.8284924425,359841.567463134,352180.068631059,502882.481914552,572425.599933732,391699.315214716,364557.914653565,"0.736951503301334"
"2149","sp|Q9UI30|TR112_HUMAN",108388.787250918,117954.447187395,199896.4522,109709.01730175,310548.188911576,196903.155355959,19256.9716029555,747682.362788574,649765.921830762,776510.177188344,1113930.97061411,534972.7787461,623444.595000323,"0.841172610946156"
"2150","sp|Q8N3V7|SYNPO_HUMAN",187104.214533129,173512.463387113,531870.4723,473338.068290093,937600.956003592,929264.978021353,45718.3591005911,141270.562001949,198292.392471323,640120.257489191,894005.414357298,214352.818751185,183590.679280025,"0.803876928918299"
"2151","sp|Q8WU79|SMAP2_HUMAN",69680.0332189464,65155.4201750302,279657.8363,244328.229182897,193589.163276956,174659.461438608,45092.698296087,239239.814915815,252951.252628682,333231.216269456,304038.313119321,670355.618592988,641337.661231756,"0.210664931114272"
"2152","sp|P05089|ARGI1_HUMAN",34266.0460239132,44336.1068506393,15251.68384,21717.2782042912,10431.8053183795,9086.93275129541,27484.7624358097,115737.543986537,86305.1160629807,13567.2678432693,11188.8103104923,10944.1360676289,15383.9814276048,"0.811652602757907"
"2153","sp|Q14011|CIRBP_HUMAN",50333.8593978444,52471.1888216483,129813.214,121209.723715534,90604.4195828269,77497.2466737457,18340.4816219581,87163.5808624874,93206.2225622356,199919.686939871,148052.053829964,223649.292793436,161971.801157579,"0.381381454268977"
"2154","sp|Q13428|TCOF_HUMAN",14047.8984194644,23008.8101193063,12052.51236,17528.2822205211,101126.638808121,85181.447452983,2858.07411739333,67207.2604177311,60775.3410118144,177171.230579121,225408.086809284,95697.4181419176,92437.1473090099,"0.937208347539548"
"2155","sp|Q96J01|THOC3_HUMAN",18453.8854670829,21814.193964797,31624.88215,24304.0925920957,26942.6101731881,31888.6377107653,14971.7887654498,276546.219627616,234800.273164671,91723.1121603892,81439.2134310647,157439.391726481,113474.786172823,"0.141912751525366"
