"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","pVal"
"1455","sp|O43516|WIPF1_HUMAN",201318.760563263,191078.363860772,157236.079465608,167157.430381695,98221.7826688821,94139.0079824309,136676.557874659,302617.292808271,254420.507554314,306463.614683225,319123.443306598,169827.925057366,145137.631796568,"0.789397774666924"
"1456","sp|P84085|ARF5_HUMAN;sp|P84077|ARF1_HUMAN",3093710.51035319,3033408.59541062,4530118.30146042,5367420.8580322,2968348.35035575,2604937.47835079,5327237.64983272,3519422.92870304,3515478.84443837,3215320.60206823,3034195.68804243,3660067.27927559,4054487.23704883,"0.0712579837322192"
"1457","sp|Q15847|ADIRF_HUMAN",2569758.67621559,2491515.34460547,2800091.27528969,2787568.77036806,2649439.2227556,2757715.3381601,2507387.04847939,337347.564621513,357795.182394558,344031.650205846,385146.00726741,676106.922596162,573475.677084357,"0.524539858374652"
"1458","sp|P35268|RL22_HUMAN",636120.211297959,611014.197933724,925869.112851786,901214.098162819,1045995.21884342,1063195.04145369,767819.155055653,1140386.154906,1118088.9543032,1424888.76564797,1552474.11392559,1531698.63711566,1392764.10934993,"0.620759035553141"
"1459","sp|P35321|SPR1A_HUMAN",13637.259189273,9750.31247951515,13787.6856002043,10621.7717359741,9501.30694292415,12799.6695260516,12579.828375515,2040413.04394324,1925571.24761088,8467.15721116301,13409.735160326,207272.261479862,219193.679310503,"0.275535308896257"
"1460","sp|Q9NX46|ARHL2_HUMAN",207671.752794206,208507.601198709,215344.763085607,236737.817441169,197484.5925994,210669.152292614,185768.621031664,209232.559370328,194883.002904336,202819.978904697,260239.682040559,181212.057491908,162406.557484612,"0.398194314684973"
"1461","sp|Q16630|CPSF6_HUMAN",161779.66708801,215113.929781643,162202.54626483,185035.583011042,320972.921333474,305494.410726226,165099.192529389,261479.058075042,299877.522850932,324092.531212213,440245.072921114,302052.731047793,369876.829245557,"0.796409009671042"
"1462","sp|Q9UK76|HN1_HUMAN",156118.715336009,190880.766085389,109032.147938692,61815.7755354777,173969.132930835,171326.7332331,20341.1899587311,1366417.16244644,1242671.73610438,527730.075780978,509147.995098202,560003.211619684,685337.589611033,"0.21849219630901"
"1463","sp|Q92522|H1X_HUMAN",200421.261327698,163123.176113291,504318.884875358,399658.731727591,766025.856451733,722421.726956993,298331.3407297,67349.4977641183,26944.7415809409,318571.399865991,345944.304368099,146326.90734403,152752.279090012,"0.492942963410841"
"1464","sp|P0DME0|SETLP_HUMAN",437814.976481257,363368.241109228,393915.844172681,471101.198100023,399375.908479093,418711.713779511,159038.991512908,510300.355576886,404140.326278164,488959.37059906,612044.533074121,253961.144706065,243221.550768946,"0.362767671156793"
