"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"1293","sp|P01111|RASN_HUMAN;sp|RASH_HUMAN|",180524.601893506,231740.784707843,543865.381697187,382696.030943725,515335.580014755,553775.38253434,179495.135893261,897981.83684965,1038428.41868175,569910.904435093,584626.456870277,1011495.09893192,1156509.09847798
"1294","sp|Q9HC35|EMAL4_HUMAN",53892.1543644396,35824.888041188,18446.5078875687,36001.3732626077,70182.520045154,93528.0210670836,39612.3654914191,444011.865744415,317274.002284477,142309.083620227,167208.561555776,284375.764433135,297599.608485623
"1295","sp|Q9UPT5|EXOC7_HUMAN",34895.9992639759,55363.6155415928,71431.2116643444,91505.0269741484,182153.465314659,160618.45656404,30948.6368114205,178880.801775938,245473.345740281,174866.979513297,181662.859379909,229235.084602056,272121.231030085
"1296","sp|P62070|RRAS2_HUMAN",24586.1875580817,36562.0513920034,154536.753679664,71539.9385229847,141253.418544593,126448.467873368,30051.0915881923,149203.218546654,132871.474617728,150185.283456723,127508.319500455,90152.4104779143,65428.9019971086
"1297","sp|Q16576|RBBP7_HUMAN",16179.7310755709,15446.3883145063,56532.354060362,38401.0311939429,27078.8822769227,20655.9621688348,23807.4364745839,155057.6857084,161939.102319776,37910.0262660622,39474.9611766311,410809.694375265,343555.946892337
"1298","sp|O14776|TCRG1_HUMAN",43340.0089046746,66463.0698361246,76451.3668863045,68140.4004587078,169742.045228384,173520.290621396,23884.2465108839,185022.335107742,206473.319521119,445825.696360935,393448.603614599,315647.678232166,344646.248973905
"1299","sp|P25786|PSA1_HUMAN",710363.736960247,758645.850241555,1455387.92974381,1496209.2555458,1632776.41596847,1763634.04797631,762743.926488796,15431595.0659958,18297101.1302766,3938321.51599006,3908145.29538461,24417144.8220357,25060825.0958327
"1300","sp|Q6UX06|OLFM4_HUMAN",242827.193830353,334768.30057296,505294.50695667,431989.620211348,176220.225266537,118890.530319932,262392.311938367,3691224.37663561,2956595.95628334,208164.904393273,278924.332130819,901440.030683949,903581.954472505
"1301","sp|O43684|BUB3_HUMAN",72268.3647539305,69907.3793648878,100702.959601484,67345.115383822,252069.058931249,193822.321133196,29204.0825259696,545206.580261698,512517.020109962,500526.548890795,805161.836660816,361262.875478548,346784.948728202
"1302","sp|Q15020|SART3_HUMAN",31691.426990317,26488.3589817864,62862.4793206376,31418.4206129522,92433.3692458113,101297.54623587,15208.016100119,64108.6665783527,53104.6970769464,104306.073340639,113746.435611499,419584.384540886,372677.817600722
