"","DE","Normalisation","Threshold","Go_BP","Go_MF","Go_CC","Total","DEs"
"506","T","MedI-G",0.1,0,0,0,0,56
"507","T","TI-G",1e-06,0,0,0,0,0
"508","T","TI-G",2e-06,0,0,0,0,0
"509","T","TI-G",3e-06,0,0,0,0,0
"510","T","TI-G",4e-06,0,0,0,0,0
"511","T","TI-G",5e-06,0,0,0,0,0
"512","T","TI-G",6e-06,0,0,0,0,0
"513","T","TI-G",7e-06,0,0,0,0,0
"514","T","TI-G",8e-06,0,0,0,0,0
"515","T","TI-G",9e-06,0,0,0,0,0
"516","T","TI-G",1e-05,0,0,0,0,0
"517","T","TI-G",2e-05,0,0,0,0,0
"518","T","TI-G",3e-05,0,0,0,0,0
"519","T","TI-G",4e-05,0,0,0,0,0
"520","T","TI-G",5e-05,0,0,0,0,0
"521","T","TI-G",6e-05,0,0,0,0,0
"522","T","TI-G",7e-05,0,0,0,0,0
"523","T","TI-G",8e-05,0,0,0,0,0
"524","T","TI-G",9e-05,0,0,0,0,0
"525","T","TI-G",1e-04,0,0,0,0,0
"526","T","TI-G",2e-04,0,0,0,0,0
"527","T","TI-G",3e-04,0,0,0,0,0
"528","T","TI-G",4e-04,0,0,0,0,0
"529","T","TI-G",5e-04,0,0,0,0,0
"530","T","TI-G",6e-04,0,0,0,0,0
"531","T","TI-G",7e-04,0,0,0,0,0
"532","T","TI-G",8e-04,0,0,0,0,0
"533","T","TI-G",9e-04,0,0,0,0,0
"534","T","TI-G",0.001,0,0,0,0,0
"535","T","TI-G",0.002,0,0,0,0,0
"536","T","TI-G",0.003,0,0,0,0,0
"537","T","TI-G",0.004,0,0,0,0,0
"538","T","TI-G",0.005,0,0,0,0,0
"539","T","TI-G",0.006,0,0,0,0,0
"540","T","TI-G",0.007,0,0,0,0,0
"541","T","TI-G",0.008,0,0,0,0,0
"542","T","TI-G",0.009,0,0,0,0,0
"543","T","TI-G",0.01,0,0,0,0,0
"544","T","TI-G",0.02,0,0,0,0,0
"545","T","TI-G",0.03,0,0,0,0,0
"546","T","TI-G",0.04,0,0,0,0,17
"547","T","TI-G",0.05,0,0,0,0,19
